Iteration min current max
43100000 35 53 59
43200000 40 55 59
43300000 44 55 57
43400000 40 55 57
43500000 33 52 57
43600000 40 56 59
43700000 35 54 59
43800000 40 57 59
43900000 44 55 59
44000000 32 55 59
44100000 44 53 58
44200000 44 54 59
44300000 46 54 59
44400000 44 56 59
44500000 42 55 58
44589896 40 64 64
